MAG	Domain	Phylum	Class	Order	Family	Genus	Species
Sg_SRR29635779_bin.5	Bacteria	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	SM23-35	JASEEX01	
Sg_SRR29635779_bin.50	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	E44-bin32		
Sg_SRR29635779_bin.51	Bacteria	JAAXVQ01	JAAXVQ01	JAAXVQ01	JAAXVQ01	JAUXBQ01	
Sg_SRR29635779_bin.7	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	PFJX01	
Sg_SRR29635779_bin.8	Bacteria	Acidobacteriota	UBA4820	UBA4820	DSQY01		
Sg_SRR29635779_bin.9	Bacteria	Chloroflexota	Anaerolineae	Aggregatilineales	Aggregatilineaceae	UBA2029	
Sg_SRR29635780_bin.1	Bacteria	Bacteroidota	Bacteroidia	B-17B0	B-17BO	BPGX01	
Sg_SRR29635780_bin.11	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Villigracilaceae	Defluviilinea	Defluviilinea sp020723805
Sg_SRR29635780_bin.12	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Caldimonas	Caldimonas aquatica
Sg_SRR29635780_bin.4	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteraceae		
Sg_SRR5279630_bin.1	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	UBA5559	
Sg_SRR5279630_bin.10	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Anaerotignaceae	Metalachnospira	
Sg_SRR5279630_bin.2	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Acidaminobacteraceae	Fusibacter_A	Fusibacter_A sp002452745
