MAG,Domain,Phylum,Class,Order,Family,Genus,Species
Sg_CRR933412_bin.6,Bacteria,Bacillota,Clostridia,Christensenellales,Christensenellaceae,Unassigned,Unassigned
Sg_CRR933412_bin.9,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Nitrincolaceae,Marinobacterium,Marinobacterium iners
Sg_CRR933413_bin.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium,Allorhizobium sp002377765
Sg_CRR933413_bin.11,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,Thermodesulfovibrio yellowstonii
Sg_CRR933413_bin.12,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius sp002428225
Sg_CRR933413_bin.14,Bacteria,Bacillota,Clostridia,Caldicoprobacterales,Caldicoprobacteraceae,Caldicoprobacter,Caldicoprobacter algeriensis
Sg_CRR933413_bin.16,Bacteria,JANLFM01,JANLFM01,JANLFM01,JANLFM01,JANLFM01,JANLFM01 sp024655865
Sg_CRR933413_bin.19,Bacteria,Deferribacterota,Deferribacteres,Deferribacterales,Deferribacteraceae,Deferribacter,Unassigned
Sg_CRR933413_bin.2,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA6257,JAKJEG01,Unassigned
Sg_CRR933413_bin.20,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Unassigned
Sg_CRR933413_bin.24,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium,Microbacterium chocolatum
Sg_CRR933413_bin.26,Bacteria,Deferribacterota,Deferribacteres,Deferribacterales,Deferrivibrionaceae,Deferrivibrio,Deferrivibrio sp020054865
Sg_CRR933413_bin.29,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,Melioribacter,Melioribacter roseus
Sg_CRR933413_bin.31,Bacteria,Bacillota,DSM-12270,Thermacetogeniales,Thermacetogeniaceae,Unassigned,Unassigned
Sg_CRR933413_bin.5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,Marinilabilia,Unassigned
Sg_CRR933413_bin.7,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Hydrogenophilus,Hydrogenophilus thermoluteolus
Sg_CRR933414_bin.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,Halomonas shengliensis
Sg_CRR933414_bin.10,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Nitrincolaceae,Marinobacterium,Unassigned
Sg_CRR933414_bin.11,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudidiomarina,Pseudidiomarina tainanensis
Sg_CRR933414_bin.14,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Allosediminivita,Unassigned
Sg_CRR933414_bin.15,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thioclava,Thioclava marina
Sg_CRR933414_bin.8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Nitrincolaceae,Marinobacterium_D,Marinobacterium_D sp030602245
Sg_CRR933415_bin.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Unassigned
Sg_CRR933415_bin.10,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus marcusii
Sg_CRR933415_bin.11,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Qipengyuania,Unassigned
Sg_CRR933415_bin.14,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Vreelandella,Vreelandella aquamarina
