"sample","Phylum","value","group","depth","group_depth","country","BioProject","dominant_phylum"
"SRR13427969","Methanobacteriota",0.158746309,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427969","Omnitrophota",25.038449937,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427969","Others",15.11959913,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427969","Patescibacteria",22.164627481,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427969","Pseudomonadota",1.09044529,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427970","Actinomycetota",0.039769659,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427970","Bacillota",2.718482371,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427970","Bacteroidota",1.147714072,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427970","Campylobacterota",13.725269567,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427970","Desulfobacterota",7.087551149,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427970","Halobacteriota",6.058285225,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427970","Methanobacteriota",0.064214317,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427970","Omnitrophota",29.307265811,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427970","Others",13.698222894,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427970","Patescibacteria",25.265233501,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427970","Pseudomonadota",0.887991424,"oil",850,"B","Canada","PRJNA691618","Omnitrophota"
"SRR13427971","Actinomycetota",0.006656315,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427971","Bacillota",0.354172065,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427971","Bacteroidota",0.058371329,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427971","Campylobacterota",0.064981217,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427971","Desulfobacterota",0.122261664,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427971","Halobacteriota",0.218882221,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427971","Methanobacteriota",0,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427971","Omnitrophota",5.938307058,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427971","Others",4.822205111,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427971","Patescibacteria",88.234796485,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR13427971","Pseudomonadota",0.179366533,"oil",850,"B","Canada","PRJNA691618","Patescibacteria"
"SRR1976948","Actinomycetota",0.336722731,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1976948","Bacillota",9.841872187,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1976948","Bacteroidota",0.542903061,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1976948","Campylobacterota",0,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1976948","Desulfobacterota",0.124134791,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1976948","Halobacteriota",16.413379636,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1976948","Methanobacteriota",0.482983621,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1976948","Omnitrophota",0.109531197,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1976948","Others",18.16457147,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1976948","Patescibacteria",53.983901301,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1976948","Pseudomonadota",0,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1977249","Actinomycetota",0.014128118,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1977249","Bacillota",8.870405259,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1977249","Bacteroidota",0.382151654,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1977249","Campylobacterota",0,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1977249","Desulfobacterota",0.220801965,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1977249","Halobacteriota",20.513929114,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1977249","Methanobacteriota",0.035171344,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1977249","Omnitrophota",0,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1977249","Others",42.011535568,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1977249","Patescibacteria",27.95187698,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1977249","Pseudomonadota",0,"oil",1300,"C","USA","PRJNA278302","Patescibacteria"
"SRR1977304","Actinomycetota",0.016094891,"oil",2925,"E","USA","PRJNA278302","Desulfobacterota"
"SRR1977304","Bacillota",2.332459197,"oil",2925,"E","USA","PRJNA278302","Desulfobacterota"
"SRR1977304","Bacteroidota",0,"oil",2925,"E","USA","PRJNA278302","Desulfobacterota"
"SRR1977304","Campylobacterota",0,"oil",2925,"E","USA","PRJNA278302","Desulfobacterota"
"SRR1977304","Desulfobacterota",86.971850507,"oil",2925,"E","USA","PRJNA278302","Desulfobacterota"
"SRR1977304","Halobacteriota",2.636153654,"oil",2925,"E","USA","PRJNA278302","Desulfobacterota"
"SRR1977304","Methanobacteriota",6.246899167,"oil",2925,"E","USA","PRJNA278302","Desulfobacterota"
"SRR1977304","Omnitrophota",0,"oil",2925,"E","USA","PRJNA278302","Desulfobacterota"
"SRR1977304","Others",1.796542584,"oil",2925,"E","USA","PRJNA278302","Desulfobacterota"
"SRR1977304","Patescibacteria",0,"oil",2925,"E","USA","PRJNA278302","Desulfobacterota"
"SRR1977304","Pseudomonadota",0,"oil",2925,"E","USA","PRJNA278302","Desulfobacterota"
"SRR1977357","Actinomycetota",0,"oil",1967.5,"D","USA","PRJNA278302","Halobacteriota"
"SRR1977357","Bacillota",4.780665718,"oil",1967.5,"D","USA","PRJNA278302","Halobacteriota"
"SRR1977357","Bacteroidota",0,"oil",1967.5,"D","USA","PRJNA278302","Halobacteriota"
"SRR1977357","Campylobacterota",0,"oil",1967.5,"D","USA","PRJNA278302","Halobacteriota"
"SRR1977357","Desulfobacterota",20.948317053,"oil",1967.5,"D","USA","PRJNA278302","Halobacteriota"
"SRR1977357","Halobacteriota",30.275881196,"oil",1967.5,"D","USA","PRJNA278302","Halobacteriota"
"SRR1977357","Methanobacteriota",16.252684413,"oil",1967.5,"D","USA","PRJNA278302","Halobacteriota"
"SRR1977357","Omnitrophota",0,"oil",1967.5,"D","USA","PRJNA278302","Halobacteriota"
"SRR1977357","Others",27.742451622,"oil",1967.5,"D","USA","PRJNA278302","Halobacteriota"
"SRR1977357","Patescibacteria",0,"oil",1967.5,"D","USA","PRJNA278302","Halobacteriota"
"SRR1977357","Pseudomonadota",0,"oil",1967.5,"D","USA","PRJNA278302","Halobacteriota"
"SRR1977365","Actinomycetota",0,"oil",1967.5,"D","USA","PRJNA278302","Methanobacteriota"
"SRR1977365","Bacillota",3.943717896,"oil",1967.5,"D","USA","PRJNA278302","Methanobacteriota"
"SRR1977365","Bacteroidota",0,"oil",1967.5,"D","USA","PRJNA278302","Methanobacteriota"
"SRR1977365","Campylobacterota",0,"oil",1967.5,"D","USA","PRJNA278302","Methanobacteriota"
"SRR1977365","Desulfobacterota",0.385024838,"oil",1967.5,"D","USA","PRJNA278302","Methanobacteriota"
"SRR1977365","Halobacteriota",11.348937931,"oil",1967.5,"D","USA","PRJNA278302","Methanobacteriota"
"SRR1977365","Methanobacteriota",80.758404912,"oil",1967.5,"D","USA","PRJNA278302","Methanobacteriota"
"SRR1977365","Omnitrophota",0,"oil",1967.5,"D","USA","PRJNA278302","Methanobacteriota"
"SRR1977365","Others",3.563914429,"oil",1967.5,"D","USA","PRJNA278302","Methanobacteriota"
"SRR1977365","Patescibacteria",0,"oil",1967.5,"D","USA","PRJNA278302","Methanobacteriota"
